ptcode,Silhouette
P001,0.16421688545758695
P002,0.26618838581877513
P003,0.27799351310657244
P004,0.27595389358383104
P005,0.4310201909118172
P006,0.07939347374558862
P007,0.18022709445504037
P008,0.33781790642577275
P009,0.4704670724766334
P010,0.3434737920900666
P011,0.4217574854829244
P012,0.28727806547132956
P013,0.35501876799763893
P014,0.38831154447583555
P015,0.4363071700545419
P016,0.31923035981279263
P017,0.13159067584832043
P018,-0.04611296168716811
P019,0.43711507562248103
P020,-0.19751306998993132
P021,0.42200394000555175
P022,0.17459816718973295
P023,0.052732241011788715
P024,0.4110432473631478
P025,0.40563777944988555
P026,0.3334547706938992
P027,0.05421540979141447
P028,0.4219810624431422
P029,0.42309722279212697
P030,0.4640503041405003
P031,0.08820353417425755
P032,0.37193949334373977
P033,0.38444139345907447
P034,0.4077218147487062
P035,0.19912031404508537
P036,0.019496064349983563
P037,0.2960221526170348
P038,0.43869540971072646
P039,0.27485698055279373
P041,0.3530454025562967
P042,0.4215782796069772
P043,0.44026382926292384
P044,0.4444426709028131
P045,0.4716563640295044
P046,0.13524810774010165
P047,0.3235405917042152
P048,0.44323687514213733
P049,0.4043320182263147
P050,0.30681715712752183
P052,0.04788024434657566
P053,0.25423161924407556
P054,0.4681473492885785
P056,0.3584730022320668
P058,0.46405781698407633
P059,0.21718856704153194
P060,0.05445692658894055
P061,-0.0615465741874832
P062,0.33039658837396885
P063,0.3932933482829269
P064,0.2670957053421822
P065,0.4341249109118462
P070,-0.07369949760850641
P071,0.40878375290937774
P072,0.4452769470756284
P073,0.4009116171145709
P074,0.43087401164283284
P075,0.07665076557699127
P077,0.13164874108578903
P078,0.4671835693238486
P079,-0.2829961203509231
P080,0.4094244640819171
P081,0.36149393668159546
P084,0.35289797802894957
P085,0.42732958194168025
P086,0.21679067117873943
P089,0.0012485710993407379
P090,0.08241466772582529
P091,0.2064283071048891
P092,0.12639966832990437
P094,0.46228103561717016
P095,0.36595104749050417
P098,0.4497787519677011
P099,-0.04676662035375222
P100,0.34150307192817425
